parameter,biological_category,current_status,fixed_or_inferred,in_abc12,baseline,lower_bound,upper_bound,overall_rank,overall_priority_score,tumor_score,jnk_score,fibroblast_score,macrophage_score,endothelial_score,failure_score,peak_class,peak_class_meaning,n_bio_outputs,n_outputs_class_A,n_outputs_class_B,n_bio_outputs_top5,n_bio_outputs_top10,frac_bio_outputs_top10,frac_bio_outputs_classAB,max_normalized_mu_star,median_sigma_to_mustar,mean_valid_fraction,strongest_failure_outcome,strongest_failure_rank_biserial,top_affected_bio_outputs,classification
dieProbP,tumor,ABC-inferred,inferred,True,0.00306108452805,0.001,0.004,21,0.271900223715,0.303268368791,0.104201219482,0.207945681923,0.129548555498,0.318961995095,0.567475521499,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,48,0,7,0.061946902654867256,0.4247787610619469,0.895716122315,1.4173933540038874,0.915929203539823,FIBROBLAST_POPULATION_ZERO,0.567475521499,temporal_fibroblast_tumor_correlation;tumor_radius_s480;active_macrophage_ec_colocalization_s480,MODERATE_INFLUENCE
macrophageInteractionRadius,macrophage,hard-coded,fixed,False,3.5,1.5,5.5,22,0.271893090579,0.358493604076,0.237231399228,0.173307977368,0.315519861245,0.406080754861,0.140724946695,A,"high mu*, low sigma: strong near-linear/additive effect",113,1,67,12,34,0.3008849557522124,0.6017699115044248,1.05240516007,1.45401257631536,0.9314159292035398,MACROPHAGE_POPULATION_ZERO,-0.140724946695,tumor_radius_s1440;tumor_radius_s960;tumor_rms_spread_s960,MODERATE_INFLUENCE
initialMacrophageCount,initialization,hard-coded,fixed,False,925.0,463.0,1388.0,23,0.262070909939,0.308441153615,0.282930073019,0.175944526371,0.253983690534,0.301774260994,0.249351755099,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,48,8,16,0.1415929203539823,0.4247787610619469,1.06650350659,1.3411289978005265,0.9092920353982301,FIBROBLAST_POPULATION_ZERO,-0.249351755099,jnkp_fraction_s0;tumor_rms_spread_s480;tumor_radius_s960,MODERATE_INFLUENCE
divProbEP,endothelial,fixed,fixed,False,0.0087,0.001,0.02,24,0.254787220179,0.180898977871,0.214735332508,0.0994872260319,0.171184518564,0.562597682696,0.299819583402,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,45,8,14,0.12389380530973451,0.39823008849557523,1.5045400312,1.4348198649667516,0.8933628318584071,MACROPHAGE_POPULATION_ZERO,-0.299819583402,cumulative_ec_divisions_s480;cumulative_ec_deaths_s960;active_macrophage_ec_colocalization_s960,MODERATE_INFLUENCE
pOnMax,jnk,ABC-inferred,inferred,True,0.0344299168465,0.01,0.1,25,0.253934449354,0.48595997641,0.339939482924,0.243332238734,0.135245148159,0.116875813954,0.202254035943,A,"high mu*, low sigma: strong near-linear/additive effect",113,1,63,14,28,0.24778761061946902,0.5663716814159292,1.42879153741,1.3624253925864158,0.9035398230088495,MACROPHAGE_POPULATION_ZERO,0.202254035943,tumor_radius_s1440;tumor_rms_spread_s1440;tumor_rms_spread_s960,MODERATE_INFLUENCE
dieProbFP,fibroblast,fixed,fixed,False,0.012,0.001,0.012,26,0.244593847568,0.230998619475,0.277444207508,0.505694601279,0.12137356932,0.216374236515,0.11567785131,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,57,7,47,0.415929203539823,0.504424778761062,1.40972532798,1.113776332695974,0.9305309734513275,FIBROBLAST_POPULATION_ZERO,-0.11567785131,temporal_fibroblast_tumor_correlation;abc_target_07_fibro_s1440_standardized_residual;fibroblast_log10_fold_s1440,MODERATE_INFLUENCE
fibroblastSignalBoost,fibroblast,hard-coded,fixed,False,0.02,0.005,0.04,27,0.239462034687,0.154337707917,0.282245255956,0.208675999763,0.0846402269591,0.159947826925,0.546925190603,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,38,0,6,0.05309734513274336,0.336283185840708,0.726112280255,1.700327637233448,0.9557522123893806,FIBROBLAST_POPULATION_ZERO,-0.546925190603,abc_target_02_jnkp_s1440_standardized_residual;abc_target_02_jnkp_s1440_stat;jnkp_fraction_s1440,MODERATE_INFLUENCE
migrProbN,tumor,fixed,fixed,False,0.01,0.0,0.1,28,0.235924169623,0.309751776034,0.140046925365,0.193128069361,0.185754414342,0.153526629184,0.433337203452,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,40,0,7,0.061946902654867256,0.35398230088495575,0.903389787462,1.465830385635464,0.9141592920353984,FIBROBLAST_POPULATION_ZERO,0.433337203452,active_macrophage_ec_colocalization_s960;active_macrophage_ec_colocalization_s480;tumor_radius_s1440,MODERATE_INFLUENCE
initialJnkPositiveTenths,initialization,hard-coded,fixed,False,9.0,5.0,10.0,29,0.231784840413,0.260744672927,0.349523308725,0.169354851453,0.158116916978,0.21797567809,0.234993614304,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,39,1,4,0.035398230088495575,0.34513274336283184,2.58887635478,1.3582197221150256,0.8964601769911504,FIBROBLAST_POPULATION_ZERO,-0.234993614304,jnkp_fraction_s0;tumor_radius_s1440;tumor_rms_spread_s480,MODERATE_INFLUENCE
dieProbN,tumor,ABC-inferred,inferred,True,0.0185745166581,0.008,0.025,30,0.226438283867,0.301377388935,0.233837389538,0.198901186481,0.169705125243,0.14434905418,0.310459558824,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,42,0,3,0.02654867256637168,0.37168141592920356,0.79469749281,2.5885370697552026,0.8933628318584071,TUMOR_EXTINCT,0.310459558824,tumor_radius_s1440;tumor_radius_s960;tumor_rms_spread_s1440,MODERATE_INFLUENCE
endothelialMacrophageRadius,endothelial,hard-coded,fixed,False,1.5,1.0,3.5,31,0.225492244106,0.240405732701,0.282785593347,0.0982403091711,0.131431503173,0.263461070636,0.336629255606,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,37,1,6,0.05309734513274336,0.3274336283185841,1.06566473357,1.6813497036092624,0.9256637168141593,MACROPHAGE_POPULATION_ZERO,0.336629255606,active_macrophage_ec_colocalization_s480;tumor_radius_s960;temporal_fibroblast_tumor_correlation,LOW_INFLUENCE_WITHIN_RANGE
lambdaCAF,jnk,fixed,fixed,False,2.0,0.5,5.0,32,0.223375023774,0.345244872752,0.425676031764,0.190069916859,0.129599033105,0.109523285956,0.140137002206,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,56,2,20,0.17699115044247787,0.49557522123893805,1.38384436695,1.4589757589625276,0.8982300884955752,FIBROBLAST_POPULATION_ZERO,0.140137002206,tumor_rms_spread_s1440;tumor_radius_s1440;tumor_log10_fold_s1440,LOW_INFLUENCE_WITHIN_RANGE
netN,tumor,ABC-inferred,inferred,True,0.0025997991808,0.0015,0.005,33,0.214797740185,0.219056581916,0.209402153997,0.154549476215,0.102238351169,0.316222257163,0.287317620651,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,35,0,3,0.02654867256637168,0.30973451327433627,0.842796807162,1.7211443771178518,0.9146017699115043,FIBROBLAST_POPULATION_ZERO,-0.287317620651,ec_activated_fraction_s960;abc_target_04_ec_s960_standardized_residual;abc_target_04_ec_s960_stat,LOW_INFLUENCE_WITHIN_RANGE
