,current_status_a,current_status_b,in_abc12,rank_a,rank_b,rank_change_b_minus_a,abs_rank_change,score_a,score_b,score_change,tumor_score_a,tumor_score_b,jnk_score_a,jnk_score_b,fibroblast_score_a,fibroblast_score_b,macrophage_score_a,macrophage_score_b,endothelial_score_a,endothelial_score_b,failure_score_a,failure_score_b
macrophageInteractionRadius,hard-coded,hard-coded,False,19,22,3,3,0.281338743452,0.271893090579,-0.009445652872999977,0.2610619108,0.358493604076,0.198776274341,0.237231399228,0.191142578333,0.173307977368,0.288751555865,0.315519861245,0.408773114348,0.406080754861,0.339527027027,0.140724946695
initialMacrophageCount,hard-coded,hard-coded,False,17,23,6,6,0.28479890934,0.262070909939,-0.02272799940100001,0.369426451125,0.308441153615,0.360097182252,0.282930073019,0.217860052371,0.175944526371,0.176311016985,0.253983690534,0.299344248802,0.301774260994,0.285754504505,0.249351755099
divProbEP,fixed,fixed,False,21,24,3,3,0.277228581181,0.254787220179,-0.022441361002000004,0.186031791539,0.180898977871,0.181916444622,0.214735332508,0.089006069708,0.0994872260319,0.153034670037,0.171184518564,0.624328457124,0.562597682696,0.429054054054,0.299819583402
pOnMax,ABC-inferred,ABC-inferred,True,41,25,-16,16,0.191673521562,0.253934449354,0.062260927792000015,0.309395444635,0.48595997641,0.216187979793,0.339939482924,0.162158734386,0.243332238734,0.118982471075,0.135245148159,0.131112783913,0.116875813954,0.212203715567,0.202254035943
dieProbFP,fixed,fixed,False,25,26,1,1,0.268071208522,0.244593847568,-0.023477360953999993,0.159794367707,0.230998619475,0.309858120005,0.277444207508,0.457638127037,0.505694601279,0.140415238857,0.12137356932,0.254122298428,0.216374236515,0.286599099099,0.11567785131
fibroblastSignalBoost,hard-coded,hard-coded,False,30,27,-3,3,0.240431505005,0.239462034687,-0.0009694703179999875,0.127544259886,0.154337707917,0.297171656014,0.282245255956,0.0668902247921,0.208675999763,0.0528712501016,0.0846402269591,0.158246774373,0.159947826925,0.739864864865,0.546925190603
migrProbN,fixed,fixed,False,38,28,-10,10,0.207166925955,0.235924169623,0.028757243668000004,0.34875618795,0.309751776034,0.133221264253,0.140046925365,0.248112480283,0.193128069361,0.176914401357,0.185754414342,0.149418105934,0.153526629184,0.186579115951,0.433337203452
initialJnkPositiveTenths,hard-coded,hard-coded,False,31,29,-2,2,0.228717652938,0.231784840413,0.003067187474999983,0.123094356163,0.260744672927,0.231164403106,0.349523308725,0.145748841866,0.169354851453,0.106772106657,0.158116916978,0.202745940781,0.21797567809,0.562780269058,0.234993614304
dieProbN,ABC-inferred,ABC-inferred,True,32,30,-2,2,0.223066148899,0.226438283867,0.0033721349679999846,0.255816844511,0.301377388935,0.289171204306,0.233837389538,0.220093204891,0.198901186481,0.148925562656,0.169705125243,0.129771919597,0.14434905418,0.294618157431,0.310459558824
endothelialMacrophageRadius,hard-coded,hard-coded,False,36,31,-5,5,0.217444940776,0.225492244106,0.008047303330000005,0.284657876451,0.240405732701,0.287436929664,0.282785593347,0.106146162023,0.0982403091711,0.108522853702,0.131431503173,0.354588070537,0.263461070636,0.163317752282,0.336629255606
lambdaCAF,fixed,fixed,False,44,32,-12,12,0.160963607888,0.223375023774,0.06241141588600002,0.168250325322,0.345244872752,0.338272375605,0.425676031764,0.134334792804,0.190069916859,0.0698717548431,0.129599033105,0.0976837753477,0.109523285956,0.157368623404,0.140137002206
netN,ABC-inferred,ABC-inferred,True,35,33,-2,2,0.217532131853,0.214797740185,-0.0027343916679999913,0.173546858161,0.219056581916,0.181144800846,0.209402153997,0.117043633388,0.154549476215,0.0800163413399,0.102238351169,0.272303769994,0.316222257163,0.481137387387,0.287317620651
activProbF,ABC-inferred,ABC-inferred,True,22,34,12,12,0.277161655383,0.211326311946,-0.06583534343700004,0.188735826386,0.192244928974,0.135263214568,0.211491325278,0.408321547941,0.338218681114,0.107587257047,0.113287511973,0.238180600127,0.225074210623,0.584881486227,0.187641213713
macrophageEndothelialBiasRadius,hard-coded,hard-coded,False,34,35,1,1,0.217930719497,0.209203579736,-0.00872713976099998,0.296975209339,0.213994237965,0.244578614467,0.220524719056,0.1592375955,0.165551077817,0.233279863482,0.233876825316,0.189109881041,0.273614176358,0.184403153153,0.147660441904
