sample_id,point_id,trajectory_id,step_id,replicate_id,simulation_seed,status,flags,error_class,error_message,runtime_ms
"T0003_S001_R000","T0003_S001",3,1,0,1158854571926757710,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",6626
"T0003_S002_R000","T0003_S002",3,2,0,1158854571926757710,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5396
"T0003_S003_R000","T0003_S003",3,3,0,1158854571926757710,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2103
"T0003_S005_R000","T0003_S005",3,5,0,1158854571926757710,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1516
"T0003_S006_R000","T0003_S006",3,6,0,1158854571926757710,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1521
"T0003_S007_R000","T0003_S007",3,7,0,1158854571926757710,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",913
"T0003_S008_R000","T0003_S008",3,8,0,1158854571926757710,"INVALID","EC_POPULATION_ZERO;MACROPHAGE_POPULATION_ZERO;INVALID_DENOMINATOR","","",777
"T0003_S009_R000","T0003_S009",3,9,0,1158854571926757710,"INVALID","MACROPHAGE_POPULATION_ZERO;INVALID_DENOMINATOR","","",1052
"T0003_S011_R000","T0003_S011",3,11,0,1158854571926757710,"INVALID","EC_POPULATION_ZERO;MACROPHAGE_POPULATION_ZERO;INVALID_DENOMINATOR","","",939
"T0003_S013_R000","T0003_S013",3,13,0,1158854571926757710,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1268
"T0003_S014_R000","T0003_S014",3,14,0,1158854571926757710,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",7412
"T0003_S015_R000","T0003_S015",3,15,0,1158854571926757710,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",6534
"T0003_S016_R000","T0003_S016",3,16,0,1158854571926757710,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",7363
"T0003_S017_R000","T0003_S017",3,17,0,1158854571926757710,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4745
"T0003_S018_R000","T0003_S018",3,18,0,1158854571926757710,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",8953
