output,output_family,parameter,screened,current_status,classification,classification_reason,mu_star,sigma,n_valid,n_lost,mean_snr,mu_star_q25,mu_star_median,mu_star_q75,sigma_q25,sigma_median,sigma_q75
"abc_target_01_jnkp_s480_standardized_residual","jnk","initialJnkPositiveTenths",true,"hard-coded","D","mu-star and sigma at/below output medians",0.596803535693,0.833862246084,17,3,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","initialMacrophageCount",true,"hard-coded","D","mu-star and sigma at/below output medians",0.255212987987,0.388706983913,18,2,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","initialLungCount",true,"hard-coded","B","mu-star at/above output Q75 and sigma at/above median",1.09154288024,1.63626148888,19,1,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","initPop",true,"fixed CLI","C","intermediate mu-star with above-median variability",0.591449772631,1.01838053871,19,1,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","migrProbF",false,"inactive","E","structurally inactive field confirmed unused or blocked by current event logic",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","activProbMP",false,"inactive","E","structurally inactive field confirmed unused or blocked by current event logic",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbEN",false,"inactive","E","structurally inactive field confirmed unused or blocked by current event logic",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","migrProbE",false,"inactive","E","structurally inactive field confirmed unused or blocked by current event logic",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbL",false,"inactive","E","structurally inactive field confirmed unused or blocked by current event logic",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","initialEndothelialCoordinates",false,"structural","F","not screened in untreated Morris design: No defensible resampling rule or range; retain as fixed spatial input pending image provenance",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
