parameter,biological_category,current_status,fixed_or_inferred,in_abc12,baseline,lower_bound,upper_bound,overall_rank,overall_priority_score,tumor_score,jnk_score,fibroblast_score,macrophage_score,endothelial_score,failure_score,peak_class,peak_class_meaning,n_bio_outputs,n_outputs_class_A,n_outputs_class_B,n_bio_outputs_top5,n_bio_outputs_top10,frac_bio_outputs_top10,frac_bio_outputs_classAB,max_normalized_mu_star,median_sigma_to_mustar,mean_valid_fraction,strongest_failure_outcome,strongest_failure_rank_biserial,top_affected_bio_outputs,classification
activProbF,fibroblast,ABC-inferred,inferred,True,0.0235917824107,0.001,0.05,22,0.277161655383,0.188735826386,0.135263214568,0.408321547941,0.107587257047,0.238180600127,0.584881486227,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,48,35,51,0.45132743362831856,0.4247787610619469,1.31855507903,1.458971847979162,0.8999999999999999,MACROPHAGE_POPULATION_ZERO,-0.584881486227,cumulative_fibroblast_deaths_s480;cumulative_fibroblast_divisions_s480;temporal_fibroblast_tumor_correlation,MODERATE_INFLUENCE
dieProbEP,endothelial,fixed,fixed,False,0.008,0.001,0.02,23,0.276199472974,0.128690399089,0.130460547049,0.0945674471632,0.255909488965,0.543979211986,0.50358974359,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,46,12,42,0.37168141592920356,0.40707964601769914,2.40829067133,1.234132206995704,0.891150442477876,EC_POPULATION_ZERO,0.50358974359,active_macrophage_ec_colocalization_s960;active_macrophage_ec_colocalization_s1440;cumulative_ec_divisions_s1440,MODERATE_INFLUENCE
activProbE,endothelial,ABC-inferred,inferred,True,0.0594775137265,0.005,0.08,24,0.275367185987,0.132554162847,0.21798146628,0.125369480271,0.0699793935375,0.445001045417,0.661317567568,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,43,36,43,0.3805309734513274,0.3805309734513274,1.03931779396,1.767130942014835,0.9088495575221239,FIBROBLAST_POPULATION_ZERO,-0.661317567568,abc_target_04_ec_s960_standardized_residual;abc_target_04_ec_s960_stat;ec_activated_fraction_s960,MODERATE_INFLUENCE
dieProbFP,fibroblast,fixed,fixed,False,0.012,0.001,0.012,25,0.268071208522,0.159794367707,0.309858120005,0.457638127037,0.140415238857,0.254122298428,0.286599099099,A,"high mu*, low sigma: strong near-linear/additive effect",113,2,52,8,48,0.4247787610619469,0.4778761061946903,1.47091543307,1.255672595411658,0.9203539823008849,FIBROBLAST_POPULATION_ZERO,-0.286599099099,temporal_fibroblast_tumor_correlation;abc_target_07_fibro_s1440_standardized_residual;fibroblast_log10_fold_s1440,MODERATE_INFLUENCE
deactProbE,endothelial,fixed,fixed,False,0.01,0.0,0.05,26,0.259775351289,0.17181696479,0.106533496492,0.127902634822,0.118764668398,0.354017226116,0.679617117117,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,42,3,42,0.37168141592920356,0.37168141592920356,0.884144302588,1.7565815965193614,0.9168141592920354,FIBROBLAST_POPULATION_ZERO,-0.679617117117,abc_target_05_ec_s1440_standardized_residual;abc_target_05_ec_s1440_stat;ec_activated_fraction_s1440,MODERATE_INFLUENCE
recruitBias,macrophage,fixed,fixed,False,0.04,0.0,0.2,27,0.251075804254,0.195316915474,0.108953697473,0.25589422656,0.158109239371,0.33702763966,0.451153106983,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,51,6,15,0.13274336283185842,0.45132743362831856,1.43418464693,1.5195568662337346,0.917699115044248,MACROPHAGE_POPULATION_ZERO,0.451153106983,ec_activated_fraction_s960;abc_target_04_ec_s960_standardized_residual;abc_target_04_ec_s960_stat,MODERATE_INFLUENCE
fibroblastTumorRadius,fibroblast,hard-coded,fixed,False,3.5,1.5,5.5,28,0.248409143774,0.176314370321,0.178104234302,0.152328738124,0.0766988890882,0.106614486665,0.800394144144,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,31,0,0,0.0,0.2743362831858407,0.784323255486,1.6175267615029758,0.8920353982300885,FIBROBLAST_POPULATION_ZERO,-0.800394144144,tumor_radius_s1440;tumor_radius_s960;temporal_fibroblast_tumor_correlation,MODERATE_INFLUENCE
ecSurvival,endothelial,ABC-inferred,inferred,True,0.0509998219712,0.0,0.3,29,0.243787216033,0.20731092083,0.125165975193,0.167311162988,0.0630305817152,0.162292042856,0.737612612613,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,38,0,2,0.017699115044247787,0.336283185840708,0.758382612687,1.6642736561672915,0.9185840707964602,FIBROBLAST_POPULATION_ZERO,0.737612612613,temporal_fibroblast_tumor_correlation;abc_target_04_ec_s960_standardized_residual;abc_target_04_ec_s960_stat,MODERATE_INFLUENCE
fibroblastSignalBoost,fibroblast,hard-coded,fixed,False,0.02,0.005,0.04,30,0.240431505005,0.127544259886,0.297171656014,0.0668902247921,0.0528712501016,0.158246774373,0.739864864865,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,34,0,3,0.02654867256637168,0.3008849557522124,0.941963899873,1.5798726941067895,0.9442477876106193,FIBROBLAST_POPULATION_ZERO,-0.739864864865,abc_target_02_jnkp_s1440_standardized_residual;abc_target_02_jnkp_s1440_stat;jnkp_fraction_s1440,MODERATE_INFLUENCE
initialJnkPositiveTenths,initialization,hard-coded,fixed,False,9.0,5.0,10.0,31,0.228717652938,0.123094356163,0.231164403106,0.145748841866,0.106772106657,0.202745940781,0.562780269058,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,38,4,7,0.061946902654867256,0.336283185840708,2.4077444331,1.5818308295855472,0.8902654867256636,MACROPHAGE_POPULATION_ZERO,0.562780269058,jnkp_fraction_s0;active_macrophage_ec_colocalization_s480;ec_activated_fraction_s1440,LOW_INFLUENCE_WITHIN_RANGE
dieProbN,tumor,ABC-inferred,inferred,True,0.0185745166581,0.008,0.025,32,0.223066148899,0.255816844511,0.289171204306,0.220093204891,0.148925562656,0.129771919597,0.294618157431,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,45,0,9,0.07964601769911504,0.39823008849557523,1.0120486619,1.4833108922755065,0.8796460176991151,TUMOR_EXTINCT,0.294618157431,abc_target_10_tumor_s1440_stat;tumor_log10_fold_s1440;abc_target_10_tumor_s1440_standardized_residual,LOW_INFLUENCE_WITHIN_RANGE
activProbM,macrophage,ABC-inferred,inferred,True,0.0418290881943,0.02,0.08,33,0.221040601542,0.222068340875,0.258158012571,0.156811719728,0.119194258273,0.241182448976,0.328828828829,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,41,28,40,0.35398230088495575,0.36283185840707965,0.798444797863,1.551109687243927,0.9150442477876106,FIBROBLAST_POPULATION_ZERO,-0.328828828829,jnkp_fraction_s1440;abc_target_02_jnkp_s1440_standardized_residual;abc_target_02_jnkp_s1440_stat,LOW_INFLUENCE_WITHIN_RANGE
macrophageEndothelialBiasRadius,macrophage,hard-coded,fixed,False,3.5,1.5,5.5,34,0.217930719497,0.296975209339,0.244578614467,0.1592375955,0.233279863482,0.189109881041,0.184403153153,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,50,3,12,0.10619469026548672,0.4424778761061947,1.41866149076,1.3381000804096426,0.911504424778761,FIBROBLAST_POPULATION_ZERO,-0.184403153153,active_macrophage_ec_colocalization_s480;tumor_rms_spread_s480;tumor_radius_s480,LOW_INFLUENCE_WITHIN_RANGE
netN,tumor,ABC-inferred,inferred,True,0.0025997991808,0.0015,0.005,35,0.217532131853,0.173546858161,0.181144800846,0.117043633388,0.0800163413399,0.272303769994,0.481137387387,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,35,3,4,0.035398230088495575,0.30973451327433627,1.02984706391,1.7675071128632431,0.8911504424778761,FIBROBLAST_POPULATION_ZERO,-0.481137387387,abc_target_04_ec_s960_standardized_residual;abc_target_04_ec_s960_stat;ec_activated_fraction_s960,LOW_INFLUENCE_WITHIN_RANGE
endothelialMacrophageRadius,endothelial,hard-coded,fixed,False,1.5,1.0,3.5,36,0.217444940776,0.284657876451,0.287436929664,0.106146162023,0.108522853702,0.354588070537,0.163317752282,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,56,8,17,0.1504424778761062,0.49557522123893805,1.22848942374,1.4152210979582007,0.9353982300884957,GENERAL_INVALID,0.163317752282,cumulative_tumor_deaths_s480;active_macrophage_ec_colocalization_s480;tumor_log10_fold_s1440,LOW_INFLUENCE_WITHIN_RANGE
macrophageDaughterActivationBoost,macrophage,hard-coded,fixed,False,0.008,0.002,0.016,37,0.209512719059,0.131394163972,0.139380444315,0.0916397803554,0.0673073033841,0.255845613316,0.571509009009,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,35,0,3,0.02654867256637168,0.30973451327433627,0.765619696724,2.0658134528409686,0.9176991150442477,FIBROBLAST_POPULATION_ZERO,-0.571509009009,ec_activated_fraction_s960;abc_target_04_ec_s960_standardized_residual;abc_target_04_ec_s960_stat,LOW_INFLUENCE_WITHIN_RANGE
migrProbN,tumor,fixed,fixed,False,0.01,0.0,0.1,38,0.207166925955,0.34875618795,0.133221264253,0.248112480283,0.176914401357,0.149418105934,0.186579115951,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,64,0,24,0.21238938053097345,0.5663716814159292,0.9647192549,1.4367336278618934,0.8814159292035397,MACROPHAGE_POPULATION_ZERO,-0.186579115951,abc_target_08_tumor_s480_standardized_residual;abc_target_08_tumor_s480_stat;tumor_log10_fold_s480,LOW_INFLUENCE_WITHIN_RANGE
dieProbP,tumor,ABC-inferred,inferred,True,0.00306108452805,0.001,0.004,39,0.199908516318,0.241401510324,0.109789925345,0.168083986701,0.0651547353679,0.182588507734,0.432432432432,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,43,2,9,0.07964601769911504,0.3805309734513274,0.828397452567,1.5220040072935592,0.8893805309734514,FIBROBLAST_POPULATION_ZERO,0.432432432432,jnkp_fraction_s960;temporal_fibroblast_tumor_correlation;abc_target_09_tumor_s960_standardized_residual,LOW_INFLUENCE_WITHIN_RANGE
fibroblastSignalCap,fibroblast,hard-coded,fixed,False,10.0,5.0,15.0,40,0.195834586568,0.071331071451,0.138427011239,0.0459309750903,0.02083047755,0.109355101195,0.789132882883,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,31,0,0,0.0,0.2743362831858407,0.441092927683,2.4694748928131722,0.9495575221238938,FIBROBLAST_POPULATION_ZERO,-0.789132882883,abc_target_02_jnkp_s1440_standardized_residual;abc_target_02_jnkp_s1440_stat;jnkp_fraction_s1440,LOW_INFLUENCE_WITHIN_RANGE
pOnMax,jnk,ABC-inferred,inferred,True,0.0344299168465,0.01,0.1,41,0.191673521562,0.309395444635,0.216187979793,0.162158734386,0.118982471075,0.131112783913,0.212203715567,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,44,3,10,0.08849557522123894,0.3893805309734513,0.738158802782,1.7724954272670692,0.9088495575221239,MACROPHAGE_POPULATION_ZERO,0.212203715567,active_macrophage_ec_colocalization_s1440;temporal_fibroblast_tumor_correlation;tumor_radius_s1440,LOW_INFLUENCE_WITHIN_RANGE
tumorEndothelialRadius,endothelial,hard-coded,fixed,False,3.5,1.5,5.5,42,0.178961761902,0.16158220279,0.2692318197,0.167447500525,0.0671841469391,0.0780373668785,0.33028753458,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,31,0,0,0.0,0.2743362831858407,0.680247619916,1.7089674511149862,0.8938053097345132,TUMOR_EXTINCT,0.33028753458,jnkp_fraction_s1440;abc_target_02_jnkp_s1440_standardized_residual;abc_target_02_jnkp_s1440_stat,LOW_INFLUENCE_WITHIN_RANGE
cafDivBoost,fibroblast,ABC-inferred,inferred,True,0.427609468482,0.0,1.0,43,0.174692492087,0.134639940452,0.143053696862,0.144698857039,0.0703607138326,0.180244564353,0.375157179982,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,31,27,31,0.2743362831858407,0.2743362831858407,0.813400001254,,0.9752212389380531,TUMOR_EXTINCT,0.375157179982,temporal_fibroblast_tumor_correlation;tumor_radius_s1440;abc_target_10_tumor_s1440_standardized_residual,LOW_INFLUENCE_WITHIN_RANGE
lambdaCAF,jnk,fixed,fixed,False,2.0,0.5,5.0,44,0.160963607888,0.168250325322,0.338272375605,0.134334792804,0.0698717548431,0.0976837753477,0.157368623404,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,35,0,4,0.035398230088495575,0.30973451327433627,0.758308223523,1.556971749460359,0.8911504424778761,GENERAL_INVALID,-0.157368623404,tumor_rms_spread_s1440;abc_target_01_jnkp_s480_standardized_residual;jnkp_fraction_s480,LOW_INFLUENCE_WITHIN_RANGE
endothelialDaughterDivisionBoost,endothelial,hard-coded,fixed,False,0.001,0.00025,0.002,45,0.136544887009,0.0498925831185,0.0461807891247,0.0351393003324,0.0303226243366,0.112890975817,0.544843049327,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,30,0,0,0.0,0.26548672566371684,0.418562306572,1.8931450342063152,0.892920353982301,MACROPHAGE_POPULATION_ZERO,0.544843049327,tumor_rms_spread_s480;tumor_radius_s480;active_macrophage_ec_colocalization_s1440,LOW_INFLUENCE_WITHIN_RANGE
