sample_id,point_id,trajectory_id,step_id,replicate_id,simulation_seed,status,flags,error_class,error_message,runtime_ms
"T0001_S015_R002","T0001_S015",1,15,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1636
"T0001_S016_R000","T0001_S016",1,16,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1151
"T0001_S017_R000","T0001_S017",1,17,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1653
"T0001_S017_R002","T0001_S017",1,17,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1475
"T0001_S026_R000","T0001_S026",1,26,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3494
"T0001_S026_R001","T0001_S026",1,26,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3557
"T0001_S026_R002","T0001_S026",1,26,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4009
"T0001_S028_R000","T0001_S028",1,28,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4215
"T0001_S028_R001","T0001_S028",1,28,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3782
"T0001_S028_R002","T0001_S028",1,28,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3488
"T0001_S029_R001","T0001_S029",1,29,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3617
"T0001_S030_R001","T0001_S030",1,30,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3434
"T0001_S031_R000","T0001_S031",1,31,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5172
"T0001_S031_R001","T0001_S031",1,31,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4976
"T0001_S031_R002","T0001_S031",1,31,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3370
"T0001_S033_R000","T0001_S033",1,33,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5250
"T0001_S033_R002","T0001_S033",1,33,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;FIBROBLAST_POPULATION_ZERO;INVALID_DENOMINATOR","","",4002
"T0001_S034_R000","T0001_S034",1,34,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4647
"T0001_S034_R001","T0001_S034",1,34,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4240
"T0001_S034_R002","T0001_S034",1,34,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;FIBROBLAST_POPULATION_ZERO;INVALID_DENOMINATOR","","",4030
"T0001_S036_R001","T0001_S036",1,36,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5237
"T0001_S036_R002","T0001_S036",1,36,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5496
"T0001_S037_R000","T0001_S037",1,37,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4841
"T0001_S038_R001","T0001_S038",1,38,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4784
"T0001_S038_R002","T0001_S038",1,38,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5248
"T0001_S039_R001","T0001_S039",1,39,1,2615425428737380011,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5660
"T0001_S039_R002","T0001_S039",1,39,2,-5342353880590268224,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5533
