outcome,rank_in_outcome,parameter,n_event,n_no_event,rank_biserial_effect,direction,point_biserial_correlation,normalized_mean_difference,univariate_logistic_coefficient,permutation_p_value,current_status,fixed_or_inferred,in_abc12,baseline_value,lower_bound,upper_bound
TUMOR_EXTINCT,5,dieProbEN,950,3650,-0.307120403749,higher-value -> less likely event,-0.216714272453,-0.172057678443,-1.67487112411,0.00497512437811,fixed,fixed,False,0.005,0.001,0.01
TUMOR_EXTINCT,6,dieProbN,950,3650,0.269558759913,higher-value -> more likely event,0.196697920596,0.171570295602,1.43137090454,0.00497512437811,ABC-inferred,inferred,True,0.0185745166581,0.008,0.025
TUMOR_EXTINCT,7,tumorEndothelialRadius,950,3650,-0.254992069214,higher-value -> less likely event,-0.181067754277,-0.154771449171,-1.37695701727,0.00497512437811,hard-coded,fixed,False,3.5,1.5,5.5
TUMOR_EXTINCT,8,divProbP,950,3650,-0.253707281903,higher-value -> less likely event,-0.198090313392,-0.169191059841,-1.43857346822,0.00497512437811,ABC-inferred,inferred,True,0.00662139775929,0.005,0.03
TUMOR_EXTINCT,9,deactProbE,950,3650,-0.249144917087,higher-value -> less likely event,-0.179541799251,-0.153185291997,-1.36216926002,0.00497512437811,fixed,fixed,False,0.01,0.0,0.05
TUMOR_EXTINCT,10,clusterRadius,950,3650,-0.228596971882,higher-value -> less likely event,-0.165725570066,-0.144008651766,-1.17465979607,0.00497512437811,fixed,fixed,False,4.0,2.0,8.0
TUMOR_EXTINCT,11,divProbEP,950,3650,-0.224640230714,higher-value -> less likely event,-0.157161534576,-0.139232876712,-1.11843804667,0.00497512437811,fixed,fixed,False,0.0087,0.001,0.02
TUMOR_EXTINCT,12,divProbFP,950,3650,0.213208363374,higher-value -> more likely event,0.161105568527,0.1410814708,1.1422990016,0.00497512437811,ABC-inferred,inferred,True,0.0298057467647,0.018,0.038
TUMOR_EXTINCT,13,activProbE,950,3650,-0.190246575342,higher-value -> less likely event,-0.123102679416,-0.105963950973,-0.884027972112,0.00497512437811,ABC-inferred,inferred,True,0.0594775137265,0.005,0.08
TUMOR_EXTINCT,14,lambdaCAF,950,3650,-0.185989906273,higher-value -> less likely event,-0.136453157732,-0.11913482336,-0.980305694995,0.00497512437811,fixed,fixed,False,2.0,0.5,5.0
TUMOR_EXTINCT,15,divProbMP,950,3650,0.183713049748,higher-value -> more likely event,0.135829752906,0.105107426099,1.07258533248,0.00497512437811,fixed,fixed,False,0.01575,0.001,0.03
