parameter,biological_category,current_status,fixed_or_inferred,in_abc12,baseline,lower_bound,upper_bound,overall_rank,overall_priority_score,tumor_score,jnk_score,fibroblast_score,macrophage_score,endothelial_score,failure_score,peak_class,peak_class_meaning,n_bio_outputs,n_outputs_class_A,n_outputs_class_B,n_bio_outputs_top5,n_bio_outputs_top10,frac_bio_outputs_top10,frac_bio_outputs_classAB,max_normalized_mu_star,median_sigma_to_mustar,mean_valid_fraction,strongest_failure_outcome,strongest_failure_rank_biserial,top_affected_bio_outputs,classification
lambdaCAF,jnk,fixed,fixed,False,2.0,0.5,5.0,21,0.2084315711,0.235333867628,0.393903797044,0.0847575756673,0.0856917059793,0.127011137227,0.323891343051,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,57,6,22,0.19469026548672566,0.504424778761062,0.878609019655,1.016370922275282,0.961504424778761,MACROPHAGE_POPULATION_ZERO,-0.323891343051,temporal_fibroblast_tumor_correlation;jnkp_fraction_s1440;abc_target_02_jnkp_s1440_standardized_residual,MODERATE_INFLUENCE
dieProbP,tumor,ABC-inferred,inferred,True,0.00306108452805,0.001,0.004,22,0.197021939508,0.157265813787,0.18585567407,0.113388072044,0.0788428892137,0.126907772687,0.519871415248,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,38,0,6,0.05309734513274336,0.336283185840708,0.791452811199,2.542776031147849,0.9561946902654869,FIBROBLAST_POPULATION_ZERO,0.519871415248,active_macrophage_ec_colocalization_s960;abc_target_02_jnkp_s1440_standardized_residual;abc_target_02_jnkp_s1440_stat,MODERATE_INFLUENCE
endothelialMacrophageRadius,endothelial,hard-coded,fixed,False,1.5,1.0,3.5,23,0.193522309213,0.122264959574,0.136541535773,0.0971600992265,0.110344279958,0.520029902158,0.174793078587,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,54,10,19,0.168141592920354,0.4778761061946903,1.11739315711,1.5016488784682607,0.9345132743362832,TUMOR_EXTINCT,0.174793078587,ec_activated_fraction_s480;abc_target_03_ec_s480_standardized_residual;abc_target_03_ec_s480_stat,MODERATE_INFLUENCE
dieProbEP,endothelial,fixed,fixed,False,0.008,0.001,0.02,24,0.193225327868,0.0728206198527,0.123603289372,0.0536453321347,0.132721752364,0.405129236297,0.371431737186,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,49,7,45,0.39823008849557523,0.4336283185840708,0.930289649709,1.5917758411746443,0.9513274336283186,EC_POPULATION_ZERO,0.371431737186,active_macrophage_ec_colocalization_s480;active_macrophage_ec_colocalization_s960;active_macrophage_ec_colocalization_s1440,MODERATE_INFLUENCE
initialMacrophageCount,initialization,hard-coded,fixed,False,925.0,463.0,1388.0,25,0.191945201461,0.177497536705,0.116345672865,0.163773569309,0.21387081356,0.202313522216,0.277870094113,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,55,8,15,0.13274336283185842,0.48672566371681414,0.711401280239,1.337086929540952,0.9473451327433628,MACROPHAGE_POPULATION_ZERO,-0.277870094113,cumulative_macrophage_deaths_s480;abc_target_07_fibro_s1440_stat;fibroblast_log10_fold_s1440,MODERATE_INFLUENCE
dieProbL,lung,fixed,fixed,False,0.002,0.0005,0.01,26,0.189389466558,0.192895519682,0.476173880744,0.155879910815,0.084319960808,0.0882470514502,0.138820475847,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,59,5,21,0.18584070796460178,0.5221238938053098,1.38633233447,1.4418688658550132,0.9535398230088495,TUMOR_EXTINCT,-0.138820475847,abc_target_02_jnkp_s1440_standardized_residual;abc_target_02_jnkp_s1440_stat;jnkp_fraction_s1440,MODERATE_INFLUENCE
recruitBias,macrophage,fixed,fixed,False,0.04,0.0,0.2,27,0.183831120966,0.209038202786,0.190647136279,0.123024069469,0.164827974318,0.17710931097,0.238340031973,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,53,1,16,0.1415929203539823,0.4690265486725664,0.632287704437,1.4385968104776166,0.9491150442477876,MACROPHAGE_POPULATION_ZERO,0.238340031973,temporal_fibroblast_tumor_correlation;tumor_log10_fold_s1440;abc_target_10_tumor_s1440_stat,MODERATE_INFLUENCE
netN,tumor,ABC-inferred,inferred,True,0.0025997991808,0.0015,0.005,28,0.163732035759,0.12914659278,0.15997587625,0.0724298571633,0.0440962293147,0.111846893603,0.464896765443,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,32,0,1,0.008849557522123894,0.2831858407079646,0.510486057912,1.6816519634223017,0.9663716814159291,MACROPHAGE_POPULATION_ZERO,0.464896765443,tumor_radius_s1440;abc_target_10_tumor_s1440_stat;abc_target_10_tumor_s1440_standardized_residual,MODERATE_INFLUENCE
initPop,initialization,fixed CLI,fixed,False,25.0,10.0,50.0,29,0.161462799291,0.192730176616,0.0887232258673,0.0983793735313,0.0689540076019,0.181091559683,0.338898452446,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,42,4,12,0.10619469026548672,0.37168141592920356,2.12035620436,1.4229875510177743,0.9681415929203541,MACROPHAGE_POPULATION_ZERO,0.338898452446,tumor_total_s0;cumulative_ec_divisions_s480;cumulative_tumor_deaths_s480,MODERATE_INFLUENCE
dieProbN,tumor,ABC-inferred,inferred,True,0.0185745166581,0.008,0.025,30,0.160649292325,0.18757779335,0.19144109424,0.121653564061,0.0699872073721,0.123677335013,0.269558759913,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,41,1,7,0.061946902654867256,0.36283185840707965,0.612119995616,2.3141910746414127,0.9535398230088495,TUMOR_EXTINCT,0.269558759913,cumulative_tumor_deaths_s480;temporal_fibroblast_tumor_correlation;tumor_rms_spread_s1440,MODERATE_INFLUENCE
activProbM,macrophage,ABC-inferred,inferred,True,0.0418290881943,0.02,0.08,31,0.156266665058,0.110686053444,0.127067586053,0.0957144034289,0.0823580913057,0.183979059533,0.337794796582,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,39,27,34,0.3008849557522124,0.34513274336283184,0.501327605512,1.558371790188871,0.9561946902654865,FIBROBLAST_POPULATION_ZERO,-0.337794796582,temporal_fibroblast_tumor_correlation;abc_target_03_ec_s480_standardized_residual;abc_target_03_ec_s480_stat,LOW_INFLUENCE_WITHIN_RANGE
divProbFP,fibroblast,ABC-inferred,inferred,True,0.0298057467647,0.018,0.038,32,0.155713311747,0.116210728417,0.146197212475,0.301194368733,0.0633235249737,0.0941456725078,0.213208363374,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,50,8,15,0.13274336283185842,0.4424778761061947,0.719405231114,1.361652831562129,0.9610619469026548,TUMOR_EXTINCT,0.213208363374,cumulative_fibroblast_deaths_s960;cumulative_fibroblast_deaths_s1440;temporal_fibroblast_tumor_correlation,LOW_INFLUENCE_WITHIN_RANGE
deactProbE,endothelial,fixed,fixed,False,0.01,0.0,0.05,33,0.154508883057,0.0587757059342,0.16338873775,0.0453162678545,0.0676691289617,0.261696587973,0.330206869866,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,39,3,37,0.3274336283185841,0.34513274336283184,0.49804103917,1.8365132859619329,0.9420353982300884,EC_POPULATION_ZERO,0.330206869866,ec_activated_fraction_s960;abc_target_04_ec_s960_standardized_residual;abc_target_04_ec_s960_stat,LOW_INFLUENCE_WITHIN_RANGE
