output,output_family,rank_in_output,parameter,mu_signed,mu_star,sigma,sigma_to_mustar,n_valid_ee,valid_fraction,n_lost,lost_fraction,mean_snr,normalized_mu_star,positive_fraction,negative_fraction,effect_character,current_status,fixed_or_inferred,in_abc12
abc_target_07_fibro_s1440_stat,fibroblast,10,fibroblastTumorRadius,0.429338155287,0.511913707956,1.17690704085,2.2990340413997226,20,1.0,0,0.0,1.78375793443,0.555893567606,0.7,0.25,strong nonlinearity/interaction-dependent; sign-varying,hard-coded,fixed,False
abc_target_08_tumor_s480_standardized_residual,tumor,1,divProbP,4.10215536972,4.10215536972,2.15878338446,0.526255880114885,20,1.0,0,0.0,5.81450936644,1.48942971325,1.0,0.0,moderate nonlinearity/interaction,ABC-inferred,inferred,True
abc_target_08_tumor_s480_standardized_residual,tumor,2,pOffMax,-2.37747911484,2.46862348151,2.07533574867,0.8406854120177798,20,1.0,0,0.0,2.48838255965,0.896319332841,0.1,0.9,moderate nonlinearity/interaction,ABC-inferred,inferred,True
abc_target_08_tumor_s480_standardized_residual,tumor,3,stressStrength,1.67278985946,2.07205919659,2.56520023362,1.2379956315155305,20,1.0,0,0.0,2.03451181209,0.752332921808,0.75,0.25,strong nonlinearity/interaction-dependent; sign-varying,fixed,fixed,False
abc_target_08_tumor_s480_standardized_residual,tumor,4,dieProbMP,1.71228214777,2.00438150925,2.30254251263,1.1487546168252,19,0.95,1,0.050000000000000044,1.92288649363,0.727760191292,0.894736842105,0.105263157895,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_08_tumor_s480_standardized_residual,tumor,5,migrProbP,1.48547523891,1.80063457033,1.57411949014,0.8742026372688786,20,1.0,0,0.0,3.48718125916,0.653782801975,0.8,0.2,moderate nonlinearity/interaction,fixed,fixed,False
abc_target_08_tumor_s480_standardized_residual,tumor,6,divProbMP,-1.70358314958,1.79094575641,2.1000302136,1.1725816966168583,19,0.95,1,0.050000000000000044,2.01481507284,0.650264942209,0.0526315789474,0.947368421053,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_08_tumor_s480_standardized_residual,tumor,7,pOnMax,1.57405907462,1.72723427161,1.73839242725,1.0064601286712538,20,1.0,0,0.0,1.51246436357,0.627132279012,0.9,0.1,strong nonlinearity/interaction-dependent,ABC-inferred,inferred,True
abc_target_08_tumor_s480_standardized_residual,tumor,8,lambdaCAF,1.4119974551,1.4119974551,1.28108421742,0.9072850753327111,20,1.0,0,0.0,1.60030785252,0.512674624708,0.95,0.0,moderate nonlinearity/interaction,fixed,fixed,False
abc_target_08_tumor_s480_standardized_residual,tumor,9,clusterRadius,0.371027506904,1.35030083462,1.77333148174,1.3132862220581007,20,1.0,0,0.0,1.41416484058,0.490273527853,0.6,0.4,strong nonlinearity/interaction-dependent; sign-varying,fixed,fixed,False
abc_target_08_tumor_s480_standardized_residual,tumor,10,lambdaStress,1.11425519941,1.32837743797,1.42148363322,1.0700901660843345,19,0.95,1,0.050000000000000044,1.76874298459,0.482313478698,0.684210526316,0.0526315789474,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_08_tumor_s480_stat,tumor,1,divProbP,1.10758194983,1.10758194983,0.582871513803,0.5262558801111408,20,1.0,0,0.0,5.81450936644,1.48942971325,1.0,0.0,moderate nonlinearity/interaction,ABC-inferred,inferred,True
