output,output_family,parameter,screened,current_status,classification,classification_reason,mu_star,sigma,n_valid,n_lost,mean_snr,mu_star_q25,mu_star_median,mu_star_q75,sigma_q25,sigma_median,sigma_q75
"abc_target_01_jnkp_s480_standardized_residual","jnk","movementNeighborhood",false,"structural","F","not screened in untreated Morris design: Categorical mechanism change prohibited in this screening",,,0,0,,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","calibrationHorizon",false,"structural","F","not screened in untreated Morris design: Defines the scientific observation window rather than a biological parameter",,,0,0,,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","snapshotSchedule",false,"structural","F","not screened in untreated Morris design: Observation design, not model uncertainty",,,0,0,,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","tumorSeedCenterX",false,"structural stochastic","F","not screened in untreated Morris design: Treat location variability through matched simulation seeds, not as a calibratable biological parameter",,,0,0,,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","tumorSeedCenterY",false,"structural stochastic","F","not screened in untreated Morris design: Treat location variability through matched simulation seeds",,,0,0,,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","tumorSeedJitter",false,"structural stochastic","F","not screened in untreated Morris design: Stochastic-realization control held fixed for CRN",,,0,0,,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","placementAttemptLimit",false,"computational","F","not screened in untreated Morris design: Numerical guard, not biology",,,0,0,,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","unusedNeighborCountRadius",false,"inactive","E","structurally inactive field confirmed unused or blocked by current event logic",,,0,0,,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","rimMetricRadius",false,"output definition","F","not screened in untreated Morris design: Held fixed so the response definition does not change across the sensitivity design",,,0,0,,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","rimBuriedNeighborThreshold",false,"output definition","F","not screened in untreated Morris design: Held fixed as an output definition",,,0,0,,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
