sample_id,point_id,trajectory_id,step_id,replicate_id,simulation_seed,status,flags,error_class,error_message,runtime_ms
"T0001_S009_R000","T0001_S009",1,9,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4528
"T0001_S009_R001","T0001_S009",1,9,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4479
"T0001_S009_R002","T0001_S009",1,9,2,-7132704432876195398,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4485
"T0001_S009_R003","T0001_S009",1,9,3,-6931442442958660410,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4432
"T0001_S009_R004","T0001_S009",1,9,4,4581676988027564342,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4392
"T0001_S010_R000","T0001_S010",1,10,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4539
"T0001_S010_R001","T0001_S010",1,10,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4558
"T0001_S010_R002","T0001_S010",1,10,2,-7132704432876195398,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4565
"T0001_S010_R003","T0001_S010",1,10,3,-6931442442958660410,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4247
"T0001_S010_R004","T0001_S010",1,10,4,4581676988027564342,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4250
"T0001_S015_R000","T0001_S015",1,15,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",10038
"T0001_S015_R002","T0001_S015",1,15,2,-7132704432876195398,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",9687
"T0001_S015_R003","T0001_S015",1,15,3,-6931442442958660410,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",9954
"T0001_S015_R004","T0001_S015",1,15,4,4581676988027564342,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",10266
"T0001_S016_R000","T0001_S016",1,16,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",10143
"T0001_S016_R002","T0001_S016",1,16,2,-7132704432876195398,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",10228
"T0001_S016_R003","T0001_S016",1,16,3,-6931442442958660410,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",10560
"T0001_S016_R004","T0001_S016",1,16,4,4581676988027564342,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",10547
"T0001_S017_R000","T0001_S017",1,17,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",10057
"T0001_S017_R002","T0001_S017",1,17,2,-7132704432876195398,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",9890
"T0001_S017_R004","T0001_S017",1,17,4,4581676988027564342,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",9829
"T0001_S018_R000","T0001_S018",1,18,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",10069
"T0001_S019_R001","T0001_S019",1,19,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",10137
"T0001_S019_R002","T0001_S019",1,19,2,-7132704432876195398,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",10170
"T0001_S019_R003","T0001_S019",1,19,3,-6931442442958660410,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",10250
"T0001_S020_R000","T0001_S020",1,20,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",10440
"T0001_S020_R001","T0001_S020",1,20,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",10977
"T0001_S020_R004","T0001_S020",1,20,4,4581676988027564342,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",9917
"T0001_S032_R000","T0001_S032",1,32,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4713
"T0001_S033_R000","T0001_S033",1,33,0,8544310459401790953,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4841
"T0001_S033_R001","T0001_S033",1,33,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4889
"T0001_S033_R002","T0001_S033",1,33,2,-7132704432876195398,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",5262
"T0001_S033_R003","T0001_S033",1,33,3,-6931442442958660410,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5027
"T0001_S033_R004","T0001_S033",1,33,4,4581676988027564342,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5298
"T0001_S034_R000","T0001_S034",1,34,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5495
"T0001_S034_R001","T0001_S034",1,34,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",5425
"T0001_S034_R002","T0001_S034",1,34,2,-7132704432876195398,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5389
"T0001_S034_R003","T0001_S034",1,34,3,-6931442442958660410,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5585
"T0001_S034_R004","T0001_S034",1,34,4,4581676988027564342,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5003
"T0001_S035_R000","T0001_S035",1,35,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",5303
"T0001_S035_R001","T0001_S035",1,35,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5719
"T0001_S035_R002","T0001_S035",1,35,2,-7132704432876195398,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5143
"T0001_S035_R003","T0001_S035",1,35,3,-6931442442958660410,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5498
"T0001_S035_R004","T0001_S035",1,35,4,4581676988027564342,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5316
"T0001_S036_R000","T0001_S036",1,36,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5532
"T0001_S036_R001","T0001_S036",1,36,1,-428662896371755567,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5040
"T0001_S036_R002","T0001_S036",1,36,2,-7132704432876195398,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5545
"T0001_S036_R003","T0001_S036",1,36,3,-6931442442958660410,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5781
"T0001_S036_R004","T0001_S036",1,36,4,4581676988027564342,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5194
"T0001_S037_R000","T0001_S037",1,37,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5491
"T0001_S037_R001","T0001_S037",1,37,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5254
"T0001_S037_R002","T0001_S037",1,37,2,-7132704432876195398,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5642
"T0001_S037_R003","T0001_S037",1,37,3,-6931442442958660410,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5290
"T0001_S037_R004","T0001_S037",1,37,4,4581676988027564342,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5064
"T0001_S038_R000","T0001_S038",1,38,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4906
"T0001_S038_R001","T0001_S038",1,38,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5393
"T0001_S038_R002","T0001_S038",1,38,2,-7132704432876195398,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5147
"T0001_S038_R003","T0001_S038",1,38,3,-6931442442958660410,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4937
"T0001_S038_R004","T0001_S038",1,38,4,4581676988027564342,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5052
"T0001_S039_R000","T0001_S039",1,39,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",6369
"T0001_S039_R001","T0001_S039",1,39,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5069
"T0001_S039_R002","T0001_S039",1,39,2,-7132704432876195398,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",5542
"T0001_S039_R003","T0001_S039",1,39,3,-6931442442958660410,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",5252
"T0001_S039_R004","T0001_S039",1,39,4,4581676988027564342,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4924
"T0001_S040_R000","T0001_S040",1,40,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",6393
"T0001_S040_R001","T0001_S040",1,40,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5238
"T0001_S040_R002","T0001_S040",1,40,2,-7132704432876195398,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",5544
"T0001_S040_R003","T0001_S040",1,40,3,-6931442442958660410,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5199
"T0001_S040_R004","T0001_S040",1,40,4,4581676988027564342,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4985
"T0001_S041_R000","T0001_S041",1,41,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5674
"T0001_S041_R001","T0001_S041",1,41,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5536
"T0001_S041_R002","T0001_S041",1,41,2,-7132704432876195398,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5938
"T0001_S041_R003","T0001_S041",1,41,3,-6931442442958660410,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",6173
"T0001_S041_R004","T0001_S041",1,41,4,4581676988027564342,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5561
"T0001_S042_R000","T0001_S042",1,42,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5636
"T0001_S042_R001","T0001_S042",1,42,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5602
"T0001_S042_R002","T0001_S042",1,42,2,-7132704432876195398,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5997
"T0001_S042_R003","T0001_S042",1,42,3,-6931442442958660410,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",6204
"T0001_S042_R004","T0001_S042",1,42,4,4581676988027564342,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5656
"T0001_S043_R000","T0001_S043",1,43,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5796
