output,output_family,parameter,mu,mu_star,sigma,se_mu_star,median_absolute_ee,iqr_absolute_ee,min_ee,max_ee,n_valid_ee,n_lost_invalid_or_extinct,positive_fraction,negative_fraction,rank_by_mu_star,output_scale_sd,normalized_mu_star,mean_within_point_output_variance,mean_signal_to_noise_ratio
"abc_target_03_ec_s480_standardized_residual","endothelial","recruitBias",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","fibroblastSignalBoost",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","dieProbFN",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","stressStrength",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","macrophageDaughterActivationBoost",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","initialJnkPositiveTenths",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","lambdaCAF",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","dieProbMN",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","activProbE",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","dieProbN",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","endothelialDaughterDivisionBoost",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","divProbEP",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","pOffMax",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","divProbFN",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","cafDivBoost",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","dieProbFP",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","dieProbEP",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","netN",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","activProbF",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","macrophageEndothelialBiasRadius",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","divProbMP",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","activProbM",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","pOnMax",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","migrProbN",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","divProbMN",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","ecSurvival",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","macrophageInteractionRadius",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","fibroblastSignalCap",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","tumorEndothelialRadius",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_stat","endothelial","divProbP",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_stat","endothelial","fibroblastTumorRadius",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_stat","endothelial","migrProbP",,,,,,,,,0,1,,,,,,,
