sample_id,point_id,trajectory_id,step_id,replicate_id,simulation_seed,status,flags,error_class,error_message,runtime_ms
"T0001_S010_R000","T0001_S010",1,10,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4671
"T0001_S010_R001","T0001_S010",1,10,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4772
"T0001_S015_R000","T0001_S015",1,15,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",10698
"T0001_S016_R000","T0001_S016",1,16,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",10712
"T0001_S017_R000","T0001_S017",1,17,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",10285
"T0001_S018_R000","T0001_S018",1,18,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",10656
"T0001_S019_R001","T0001_S019",1,19,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",10317
"T0001_S020_R000","T0001_S020",1,20,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",10626
"T0001_S020_R001","T0001_S020",1,20,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",10948
"T0001_S032_R000","T0001_S032",1,32,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4784
"T0001_S033_R000","T0001_S033",1,33,0,8544310459401790953,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4910
"T0001_S033_R001","T0001_S033",1,33,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5136
"T0001_S034_R000","T0001_S034",1,34,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5748
"T0001_S034_R001","T0001_S034",1,34,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",5628
"T0001_S035_R000","T0001_S035",1,35,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",5168
"T0001_S035_R001","T0001_S035",1,35,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5757
"T0001_S036_R000","T0001_S036",1,36,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5423
"T0001_S036_R001","T0001_S036",1,36,1,-428662896371755567,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5161
