output,output_family,parameter,one_seed_mu_star,multi_seed_mu_star,multi_seed_mu_star_ci_low,multi_seed_mu_star_ci_high,one_seed_restricted_rank,multi_seed_rank,rank_change,multi_seed_sigma,multi_seed_mean_snr,spearman_rank_correlation,n_valid_multi_seed,n_lost_multi_seed
"abc_target_02_jnkp_s1440_stat","jnk","macrophageInteractionRadius",0.00766953233689,0.0259944766186,,,13,11,-2,,0.345427721536,0.797802197802,1,1
"abc_target_02_jnkp_s1440_stat","jnk","divProbMP",0.0830570574731,0.0257006680699,0.0125238419854,0.0388774941543,8,12,4,0.0363462333464,0.315190485533,0.797802197802,2,0
"abc_target_02_jnkp_s1440_stat","jnk","ecSurvival",0.00902914032410,0.0225851664239,0.00856515381333,0.0366051790344,12,13,1,0.0101159652951,0.534474528560,0.797802197802,2,0
"abc_target_02_jnkp_s1440_stat","jnk","cafDivBoost",0.00386748155572,0.00752361573325,0.00611873153476,0.00892849993174,14,14,0,0.0106399994080,0.308055939298,0.797802197802,2,0
"abc_target_03_ec_s480_standardized_residual","endothelial","divProbMP",1.86652019735,1.95528417696,0,5.72370459851,1,1,0,2.71905676984,5.06398626966,0.675000000000,2,0
"abc_target_03_ec_s480_standardized_residual","endothelial","endothelialMacrophageRadius",1.69671769740,1.59883680848,0,3.80255127691,2,2,0,1.59006269840,4.80683051619,0.675000000000,2,0
"abc_target_03_ec_s480_standardized_residual","endothelial","dieProbMP",0.400640794960,0.583496551253,0,1.67961892751,6,3,-3,0.825188736379,1.07643091584,0.675000000000,2,0
"abc_target_03_ec_s480_standardized_residual","endothelial","dieProbFP",0.537037037037,0.416576688670,0.124271766450,0.708881610890,4,4,0,0.589128402886,1.24312869773,0.675000000000,2,0
"abc_target_03_ec_s480_standardized_residual","endothelial","cafDivBoost",0.785301387108,0.312997462835,0,0.670094025944,3,5,2,0.257658572768,1.05811627891,0.675000000000,2,0
"abc_target_03_ec_s480_standardized_residual","endothelial","macrophageInteractionRadius",0.232577047093,0.278539023576,0.185223512689,0.371854534463,10,6,-4,0.0673306434062,0.992428441480,0.675000000000,2,0
"abc_target_03_ec_s480_standardized_residual","endothelial","divProbFP",0.0161430033861,0.260708101224,0.179908540011,0.341507662438,15,7,-8,0.368696932572,0.948260514643,0.675000000000,2,0
"abc_target_03_ec_s480_standardized_residual","endothelial","divProbEP",0.500934164647,0.251403998872,0,0.628138757654,5,8,3,0.271828268003,1.06136075509,0.675000000000,2,0
